id,name,age,department,role,status,location,salary,performance_score,years_of_experience
39,Employee_39,20,Operations,Specialist,inactive,Remote,83435,3.9,6
40,Employee_40,58,Engineering,Specialist,inactive,New York,N/A,4.1,25
41,Employee_41,26,Marketing,Specialist,inactive,New York,52192,3.6,1
42,Employee_42,63,Support,Engineer,inactive,Remote,166638,1.9,0
43,Employee_43,35,HR,Manager,active,Tokyo,40481,3.2,29
44,Employee_44,44,Operations,Specialist,on_leave,New York,61544,2.7,7
45,Employee_45,35,Marketing,Manager,on_leave,Berlin,46813,4.2,25
46,Employee_46,46,IT,Director,inactive,London,45744,4.6,0
47,Employee_47,26,Marketing,Director,inactive,Tokyo,186602,4.9,999999
48,Employee_48,44,IT,Manager,inactive,Berlin,114940,4.6,20
49,Employee_49,26,Operations,Engineer,active,Tokyo,72752,2.9,27
50,Employee_50,33,Finance,Analyst,inactive,Berlin,129380,4.3,7
51,Employee_51,51,HR,Coordinator,on_leave,New York,106043,1.9,1
52,Employee_52,53,R&D,Director,inactive,New York,153114,3.2,30
53,Employee_53,51,R&D,Specialist,on_leave,New York,N/A,2.8,22
54,Employee_54,34,Finance,Director,active,London,138433,2.5,7
55,Employee_55,59,Engineering,Coordinator,inactive,Sydney,126296,3.8,5
56,Employee_56,48,Legal,Engineer,active,Tokyo,135315,3.4,30
57,Employee_57,55,HR,Specialist,active,New York,78398,1.9,33
58,Employee_58,40,Sales,Director,active,Remote,102177,4.5,2
59,Employee_59,23,Support,Director,on_leave,Berlin,85542,2.5,39
60,Employee_60,59,R&D,Director,active,London,104472,3.7,27
61,Employee_61,,Engineering,Coordinator,active,Sydney,N/A,3.4,21
62,Employee_62,48,IT,Manager,inactive,Remote,75085,4.3,8
63,Employee_63,,Support,Manager,on_leave,Berlin,93816,2.6,1
64,Employee_64,25,Legal,Specialist,active,Tokyo,83279,3.6,26
65,Employee_65,,Finance,Analyst,on_leave,New York,76431,2.6,13
66,Employee_66,21,Finance,Analyst,active,London,117336,4.5,8
67,Employee_67,33,Engineering,Coordinator,inactive,Sydney,75333,2.8,27
68,Employee_68,56,R&D,Engineer,active,London,57275,3.1,17
69,Employee_69,28,R&D,Specialist,inactive,Sydney,175082,2.5,16
70,Employee_70,33,R&D,Coordinator,active,London,118496,4.5,4
71,Employee_71,32,IT,Engineer,inactive,New York,145984,2.3,999999
72,Employee_72,49,Finance,Specialist,inactive,London,183397,4.2,32
73,Employee_73,38,Finance,Coordinator,inactive,Sydney,148118,4.9,15
74,Employee_74,60,Sales,Coordinator,on_leave,New York,161309,4.8,25
75,Employee_75,26,Marketing,Analyst,inactive,Tokyo,170985,3.5,8
76,Employee_76,64,Engineering,Specialist,inactive,London,196520,3.2,5
77,Employee_77,64,IT,Analyst,active,Berlin,97259,2.1,38
78,Employee_78,30,Marketing,Analyst,active,Sydney,108393,4.2,999999
79,Employee_79,25,HR,Manager,on_leave,Sydney,66090,3.7,16
80,Employee_80,44,HR,Engineer,on_leave,London,N/A,2.5,31
81,Employee_81,42,IT,Analyst,active,Remote,48783,1.9,1
82,Employee_82,,Engineering,Director,on_leave,London,100198,4.3,40
83,Employee_83,23,HR,Specialist,on_leave,Remote,159097,2.5,24
84,Employee_84,,Marketing,Analyst,active,Remote,175391,4.1,38
85,Employee_85,36,Operations,Specialist,active,Sydney,107615,2.7,28
86,Employee_86,62,Engineering,Analyst,on_leave,Tokyo,155842,3.1,37
87,Employee_87,53,Finance,Director,active,Sydney,150301,3.4,999999
88,Employee_88,29,Operations,Director,active,Tokyo,168557,4.0,14
89,Employee_89,30,Finance,Manager,active,London,166951,2.4,15
90,Employee_90,57,Finance,Analyst,inactive,New York,N/A,3.6,22
91,Employee_91,49,Engineering,Engineer,on_leave,London,111840,1.4,17
92,Employee_92,36,Marketing,Specialist,active,Remote,197267,4.6,7
93,Employee_93,51,Finance,Director,inactive,Berlin,111290,1.6,12
94,Employee_94,62,HR,Manager,on_leave,Tokyo,103288,5.0,38
95,Employee_95,48,Support,Manager,on_leave,Sydney,141673,2.9,2
96,Employee_96,22,Finance,Director,active,Remote,89903,3.9,2
97,Employee_97,32,Legal,Engineer,inactive,New York,74034,4.0,26
98,Employee_98,53,Support,Engineer,inactive,London,184201,3.5,5
99,Employee_99,37,Marketing,Director,on_leave,Tokyo,69492,1.9,28
100,Employee_100,54,Engineering,Coordinator,active,Sydney,139839,2.6,36
101,Employee_101,24,Finance,Coordinator,inactive,Remote,130795,4.3,17
102,Employee_102,43,Engineering,Director,on_leave,London,104139,2.0,35
103,Employee_103,63,Finance,Coordinator,inactive,Berlin,130162,4.6,3
104,Employee_104,30,Marketing,Analyst,inactive,New York,65148,1.5,1
105,Employee_105,56,Operations,Director,on_leave,Berlin,65097,2.9,10
106,Employee_106,32,Finance,Analyst,on_leave,London,129539,3.7,17
107,Employee_107,44,R&D,Manager,active,Remote,87808,1.4,1
108,Employee_108,28,Operations,Engineer,inactive,Tokyo,85142,2.0,999999
109,Employee_109,48,Support,Coordinator,inactive,Remote,158656,1.6,7
110,Employee_110,42,R&D,Analyst,inactive,Berlin,N/A,4.0,2
111,Employee_111,40,Legal,Analyst,active,Tokyo,131510,3.1,39
112,Employee_112,31,Marketing,Specialist,on_leave,Berlin,178964,2.6,20
113,Employee_113,40,Marketing,Engineer,active,London,N/A,1.7,36
114,Employee_114,44,Operations,Engineer,active,Remote,183229,4.4,4
115,Employee_115,49,HR,Analyst,active,Berlin,100140,1.2,7
116,Employee_116,29,Operations,Analyst,on_leave,Remote,111751,1.1,1
117,Employee_117,28,Support,Engineer,on_leave,Tokyo,151943,4.4,33
118,Employee_118,21,Support,Director,active,Berlin,166063,4.9,3
119,Employee_119,26,Legal,Specialist,inactive,New York,195618,4.6,12
120,Employee_120,61,Finance,Director,active,Tokyo,76824,2.8,1
121,Employee_121,40,IT,Director,inactive,Berlin,148705,4.0,22
122,Employee_122,64,Finance,Engineer,inactive,New York,95475,2.5,34
123,Employee_123,65,Sales,Coordinator,active,New York,130156,1.3,27
124,Employee_124,,Operations,Specialist,inactive,London,106019,4.6,23
125,Employee_125,35,Sales,Specialist,on_leave,New York,153266,2.2,999999
126,Employee_126,,Support,Analyst,inactive,Remote,109927,3.9,10
127,Employee_127,61,Legal,Director,inactive,Tokyo,58751,3.3,5
128,Employee_128,36,Legal,Analyst,inactive,Sydney,162748,2.0,21
129,Employee_129,22,R&D,Manager,inactive,Tokyo,46498,1.9,19
130,Employee_130,24,Engineering,Analyst,inactive,Berlin,   ,3.7,13
131,Employee_131,41,Support,Engineer,on_leave,New York,114654,4.1,36
132,Employee_132,21,IT,Coordinator,inactive,New York,139665,1.3,34
133,Employee_133,25,R&D,Specialist,on_leave,Sydney,149614,2.9,40
134,Employee_134,62,Finance,Director,active,Tokyo,108034,4.0,14
135,Employee_135,57,Marketing,Coordinator,on_leave,New York,163889,2.1,5
136,Employee_136,60,Operations,Specialist,active,London,187016,3.9,34
137,Employee_137,37,Sales,Analyst,active,Berlin,44776,4.6,40
138,Employee_138,41,Finance,Engineer,inactive,New York,133314,4.1,10
139,Employee_139,64,Engineering,Director,inactive,Berlin,70376,3.5,20
140,Employee_140,53,Operations,Engineer,active,New York,111375,2.0,1
141,Employee_141,23,Legal,Coordinator,on_leave,New York,73016,2.5,18
142,Employee_142,53,Support,Coordinator,inactive,Sydney,118330,4.6,4
143,Employee_143,40,Operations,Engineer,active,Remote,85951,1.3,12
144,Employee_144,45,Legal,Manager,inactive,New York,50427,4.2,34
145,Employee_145,59,Marketing,Analyst,inactive,London,66545,1.2,7
146,Employee_146,39,Engineering,Manager,active,Remote,101132,1.4,35
147,Employee_147,42,IT,Manager,on_leave,Remote,187364,4.7,39
148,Employee_148,28,Legal,Engineer,on_leave,Sydney,72420,4.5,20
149,Employee_149,43,Operations,Analyst,inactive,London,131453,1.9,29
150,Employee_150,35,Sales,Director,inactive,London,43559,3.9,18
,,,,,,,,,
999,MissingCols,30,Sales
1000,ExtraCols,40,IT,Manager,active,London,80000,4.5,10,ExtraData1,ExtraData2
1001,  Weird Spaces  , 25 ,HR,Analyst,active,Remote,  65000  ,3.8,2
